10:31:40  INFO      momentum_main  Initialising Dhan connection …
10:31:40  INFO      momentum_bot.bot  ============================================================
10:31:40  INFO      momentum_bot.bot  MomentumBot starting  [DRY-RUN]
10:31:40  INFO      momentum_bot.bot  ============================================================
10:31:40  INFO      momentum_bot.bot  Already past OR_END_TIME (09:30) — scanning immediately
10:31:40  INFO      momentum_bot.bot  --- Opening Range Scan ---
10:34:51  INFO      momentum_bot.bot  Opening ranges fetched: 121 / 151 stocks
10:34:51  INFO      momentum_bot.scanner  SECTOR ENERGY          neutral zone (avg_move=-0.02% inside ±0.20%) → skip
10:34:51  INFO      momentum_bot.scanner  SECTOR BANKING         trend mismatch: OR=BEAR(-0.20%) vs 5d=BULL(1.28%) → skip
10:34:51  INFO      momentum_bot.scanner  SECTOR FINANCIALS      neutral zone (avg_move=+0.07% inside ±0.20%) → skip
10:34:51  INFO      momentum_bot.scanner  SECTOR AUTO            neutral zone (avg_move=-0.10% inside ±0.20%) → skip
10:34:51  INFO      momentum_bot.scanner  SECTOR CEMENT_INFRA    neutral zone (avg_move=-0.05% inside ±0.20%) → skip
10:34:51  INFO      momentum_bot.scanner  SECTOR DEFENCE         trend mismatch: OR=BEAR(-0.73%) vs 5d=BULL(5.76%) → skip
10:34:51  INFO      momentum_bot.scanner  SECTOR CAPGOODS        trend mismatch: OR=BEAR(-0.23%) vs 5d=BULL(3.53%) → skip
10:34:51  INFO      momentum_bot.scanner  SECTOR CHEMICAL        trend mismatch: OR=BULL(0.69%) vs 5d=BEAR(-0.86%) → skip
10:34:51  INFO      momentum_bot.scanner  SECTOR FMCG            neutral zone (avg_move=-0.00% inside ±0.20%) → skip
10:34:51  INFO      momentum_bot.bot  Sector ranking (top 5):
10:34:51  INFO      momentum_bot.bot    METALS          dir=BEAR  score=1.903  avg_move=-0.66%  stocks=7
10:34:51  INFO      momentum_bot.bot    PHARMA          dir=BULL  score=1.123  avg_move=+1.38%  stocks=10
10:34:51  INFO      momentum_bot.bot    CONSUMER_DISC   dir=BULL  score=0.520  avg_move=+0.35%  stocks=10
10:34:51  INFO      momentum_bot.scanner  WATCH  VEDL          sector=METALS          dir=SELL  OR=284.45-294.50  move=-2.29%  5d=+1.11%  vol=50.6x
13:26:46  INFO      momentum_bot.signals  VEDL  SELL skipped — vol 0.3x below 1.5x
13:26:47  INFO      momentum_bot.signals  HINDZINC  SELL skipped — vol 0.4x below 1.5x
13:29:50  INFO      momentum_bot.signals  VEDL  SELL skipped — vol 0.4x below 1.5x
13:29:51  INFO      momentum_bot.signals  HINDZINC  SELL skipped — vol 1.0x below 1.5x
13:32:54  INFO      momentum_bot.signals  VEDL  SELL skipped — vol 0.5x below 1.5x
13:32:56  INFO      momentum_bot.signals  SIGNAL  HINDZINC      SELL  entry=545.80  stop=553.99(1.50%)  target=533.52(2.25%)  vol=2.0x  RSI=36.7
13:32:56  WARNING   momentum_bot.executor  HINDZINC  calculated quantity < 1 — skipping
13:35:59  INFO      momentum_bot.signals  SIGNAL  VEDL          SELL  entry=280.20  stop=284.40(1.50%)  target=273.90(2.25%)  vol=2.4x  RSI=34.5
13:36:00  WARNING   momentum_bot.executor  VEDL  calculated quantity < 1 — skipping
13:36:01  INFO      momentum_bot.signals  HINDZINC  SELL skipped — vol 0.0x below 1.5x
13:39:04  INFO      momentum_bot.signals  VEDL  SELL skipped — vol 0.0x below 1.5x
13:39:05  INFO      momentum_bot.signals  HINDZINC  SELL skipped — vol 0.0x below 1.5x
13:42:08  INFO      momentum_bot.signals  VEDL  SELL skipped — vol 0.0x below 1.5x
13:42:09  INFO      momentum_bot.signals  HINDZINC  SELL skipped — vol 0.2x below 1.5x
13:45:12  INFO      momentum_bot.signals  VEDL  SELL skipped — vol 0.0x below 1.5x
13:45:13  INFO      momentum_bot.signals  HINDZINC  SELL skipped — vol 0.0x below 1.5x
13:45:15  INFO      momentum_bot.signals  PPLPHARMA  BUY skipped — vol 0.0x below 1.5x
13:48:16  INFO      momentum_bot.signals  VEDL  SELL skipped — vol 0.1x below 1.5x
13:48:17  INFO      momentum_bot.signals  HINDZINC  SELL skipped — vol 0.0x below 1.5x
13:51:20  INFO      momentum_bot.signals  VEDL  SELL skipped — vol 0.1x below 1.5x
13:51:21  INFO      momentum_bot.signals  HINDZINC  SELL skipped — vol 0.0x below 1.5x
13:54:24  INFO      momentum_bot.signals  VEDL  SELL skipped — vol 0.1x below 1.5x
13:54:25  INFO      momentum_bot.signals  HINDZINC  SELL skipped — vol 0.1x below 1.5x
13:57:28  INFO      momentum_bot.signals  VEDL  SELL skipped — vol 0.1x below 1.5x
13:57:32  INFO      momentum_bot.signals  HINDZINC  SELL skipped — vol 0.0x below 1.5x
14:42:24  INFO      momentum_main  Interrupted by user — stopping
14:42:29  INFO      momentum_main  Initialising Dhan connection …
14:42:29  INFO      momentum_bot.bot  ============================================================
14:42:29  INFO      momentum_bot.bot  MomentumBot starting  [DRY-RUN]
14:42:29  INFO      momentum_bot.bot  ============================================================
14:42:29  INFO      momentum_bot.bot  Already past OR_END_TIME (09:30) — scanning immediately
14:42:29  INFO      momentum_bot.bot  --- Opening Range Scan ---
